Results Summary - 2025-05-17 10:54:18
======================================================================
Settings: {'name': 'run1_baseline', 'lr_enc': 3e-05, 'lr_dec': 2e-05, 'temp': 2.0, 'alpha': 0.5, 'epochs_enc': 3, 'epochs_dec': 5, 'batch_size': 64}
120000 training examples, 7600 test examples
Classes: ['World', 'Sports', 'Business', 'Sci/Tech']
Teacher model: fabriceyhc/bert-base-uncased-ag_news
Student model: distilbert-base-uncased

EXPERIMENT 1: Training baseline student model...
Baseline student trained in 6017.5 seconds
Accuracy: 0.9471, F1: 0.9471

EXPERIMENT 2: Training student with knowledge distillation...
CE Loss: 0.4614, KL Loss: 0.9173, Total Loss: 0.6894
CE Loss: 0.3761, KL Loss: 0.6413, Total Loss: 0.5087
CE Loss: 0.1015, KL Loss: 0.3783, Total Loss: 0.2399
CE Loss: 0.2612, KL Loss: 0.4193, Total Loss: 0.3402
CE Loss: 0.2197, KL Loss: 0.5369, Total Loss: 0.3783
CE Loss: 0.2951, KL Loss: 0.6390, Total Loss: 0.4670
CE Loss: 0.3626, KL Loss: 0.6709, Total Loss: 0.5168
CE Loss: 0.2039, KL Loss: 0.7058, Total Loss: 0.4549
CE Loss: 0.4443, KL Loss: 0.7541, Total Loss: 0.5992
CE Loss: 0.4880, KL Loss: 1.0317, Total Loss: 0.7598
CE Loss: 0.1983, KL Loss: 0.4720, Total Loss: 0.3352
CE Loss: 0.1522, KL Loss: 0.4822, Total Loss: 0.3172
CE Loss: 0.1733, KL Loss: 0.3493, Total Loss: 0.2613
CE Loss: 0.1108, KL Loss: 0.4532, Total Loss: 0.2820
CE Loss: 0.4088, KL Loss: 0.7867, Total Loss: 0.5977
CE Loss: 0.4122, KL Loss: 0.9606, Total Loss: 0.6864
CE Loss: 0.4430, KL Loss: 0.6728, Total Loss: 0.5579
CE Loss: 0.3644, KL Loss: 0.3230, Total Loss: 0.3437
CE Loss: 0.1762, KL Loss: 0.6273, Total Loss: 0.4017
CE Loss: 0.3287, KL Loss: 0.5221, Total Loss: 0.4254
CE Loss: 0.4207, KL Loss: 0.7753, Total Loss: 0.5980
CE Loss: 0.3114, KL Loss: 0.8603, Total Loss: 0.5859
CE Loss: 0.5858, KL Loss: 1.0767, Total Loss: 0.8313
CE Loss: 0.4265, KL Loss: 0.9131, Total Loss: 0.6698
CE Loss: 0.2420, KL Loss: 0.4316, Total Loss: 0.3368
CE Loss: 0.1634, KL Loss: 0.4465, Total Loss: 0.3050
CE Loss: 0.5259, KL Loss: 1.0130, Total Loss: 0.7695
CE Loss: 0.2662, KL Loss: 0.6051, Total Loss: 0.4357
CE Loss: 0.2812, KL Loss: 0.7020, Total Loss: 0.4916
CE Loss: 0.1807, KL Loss: 0.5295, Total Loss: 0.3551
CE Loss: 0.0916, KL Loss: 0.3594, Total Loss: 0.2255
CE Loss: 0.1478, KL Loss: 0.2585, Total Loss: 0.2031
CE Loss: 0.4049, KL Loss: 0.4281, Total Loss: 0.4165
CE Loss: 0.2657, KL Loss: 0.6157, Total Loss: 0.4407
CE Loss: 0.2492, KL Loss: 0.4843, Total Loss: 0.3667
